track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,spotify_url
Another Love,Tom Odell,1,2012,10,15,18371,83,1813673666,250,122,"3,394",19,,123,E,Minor,45,13,54,70,0,9,4,https://open.spotify.com/search/Another%20Love%20Tom%20Odell
Blinding Lights,The Weeknd,1,2019,11,29,43899,69,3703895074,672,199,"3,421",20,,171,C#,Major,50,38,80,0,0,9,7,https://open.spotify.com/search/Blinding%20Lights%20The%20Weeknd
Moonlight,Kali Uchis,1,2023,2,24,2649,42,256483385,67,79,57,1,615,137,G,Minor,64,88,72,51,0,17,5,https://open.spotify.com/search/Moonlight%20Kali%20Uchis
La Bachata,Manuel Turizo,1,2022,5,26,6804,45,1214083358,139,111,161,15,210,125,G,Minor,84,85,68,58,0,22,4,https://open.spotify.com/search/La%20Bachata%20Manuel%20Turizo
S91,Karol G,1,2023,7,14,525,41,16011326,34,115,39,6,216,128,,Minor,86,42,72,59,0,9,19,https://open.spotify.com/search/S91%20Karol%20G
cardigan,Taylor Swift,1,2020,7,24,7923,29,812019557,106,112,142,4,215,130,,Minor,61,53,58,55,0,27,4,https://open.spotify.com/search/cardigan%20Taylor%20Swift
Tï¿½ï¿,"dennis, MC Kevin o Chris",2,2023,5,4,731,15,111947664,27,17,73,4,167,130,B,Major,86,59,96,50,1,9,5,"https://open.spotify.com/search/Tï¿½ï¿%20dennis,%20MC%20Kevin%20o%20Chris"
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,2023,2,3,5184,41,156338624,154,84,102,14,37,133,F,Major,70,86,81,25,0,25,5,"https://open.spotify.com/search/Boy's%20a%20liar%20Pt.%202%20PinkPantheress,%20Ice%20Spice"
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,2022,6,24,3107,39,720434240,38,0,4,0,0,101,D,Major,88,72,59,62,0,9,3,"https://open.spotify.com/search/Left%20and%20Right%20(Feat.%20Jung%20Kook%20of%20BTS)%20Charlie%20Puth,%20BTS,%20Jung%20Kook"
BESO,"Rauw Alejandro, ROSALï¿½",2,2023,3,24,4053,50,357925728,82,121,182,12,171,95,F,Minor,77,53,64,74,0,17,14,"https://open.spotify.com/search/BESO%20Rauw%20Alejandro,%20ROSALï¿½"
Hey Mor,"Ozuna, Feid",2,2022,10,6,4637,38,674072710,63,79,89,11,16,98,C#,Minor,90,40,59,0,0,10,29,"https://open.spotify.com/search/Hey%20Mor%20Ozuna,%20Feid"
Yellow,Chris Molitor,1,1999,1,1,31358,43,1755214421,196,2,"4,053",5,0,173,B,Major,43,28,66,0,0,23,3,https://open.spotify.com/search/Yellow%20Chris%20Molitor
Karma,Taylor Swift,1,2022,10,21,3818,23,404562836,37,55,32,0,272,90,G#,Major,64,10,62,7,0,48,7,https://open.spotify.com/search/Karma%20Taylor%20Swift
People,Libianca,1,2022,12,2,3506,56,373199958,105,64,169,8,529,198,A#,Minor,59,71,42,55,0,10,7,https://open.spotify.com/search/People%20Libianca
Overdrive,Post Malone,1,2023,7,14,410,36,14780425,36,32,31,1,26,140,C#,Major,56,48,73,0,0,35,4,https://open.spotify.com/search/Overdrive%20Post%20Malone
